날짜시간,항공사,가격
2024-08-01 00:00:00-16:05,제주항공,"120,200"
2024-08-01 00:00:00-17:30,티웨이항공,"117,000"
2024-08-01 00:00:00-18:25,제주항공,"135,000"
2024-08-01 00:00:00-19:50,티웨이항공,"132,500"
2024-08-01 00:00:00-15:30,이스타항공,"144,900"
2024-08-01 00:00:00-16:45,에어서울,"142,500"
2024-08-01 00:00:00-14:45,진에어,"147,700"
2024-08-01 00:00:00-16:10,대한항공,"177,300"
2024-08-01 00:00:00-14:40,티웨이항공,"178,900"
2024-08-01 00:00:00-16:00,아시아나항공,"204,100"
2024-08-02 00:00:00-18:25,티웨이항공,"93,800"
2024-08-02 00:00:00-19:50,제주항공,"97,800"
2024-08-02 00:00:00-16:05,진에어,"101,400"
2024-08-02 00:00:00-17:30,진에어,"101,400"
2024-08-02 00:00:00-17:00,제주항공,"105,200"
2024-08-02 00:00:00-18:25,제주항공,"105,200"
2024-08-02 00:00:00-15:55,이스타항공,"105,500"
2024-08-02 00:00:00-17:15,에어서울,"105,700"
2024-08-02 00:00:00-08:20,티웨이항공,"109,300"
2024-08-02 00:00:00-10:00,대한항공,"112,900"
2024-08-03 00:00:00-18:25,티웨이항공,"109,300"
2024-08-03 00:00:00-19:50,제주항공,"112,700"
2024-08-03 00:00:00-15:30,제주항공,"112,700"
2024-08-03 00:00:00-16:45,제주항공,"112,700"
2024-08-03 00:00:00-16:05,진에어,"114,600"
2024-08-03 00:00:00-17:30,진에어,"114,600"
2024-08-03 00:00:00-08:20,에어부산,"116,000"
2024-08-03 00:00:00-10:00,이스타항공,"116,500"
2024-08-03 00:00:00-15:55,에어서울,"124,100"
2024-08-03 00:00:00-17:15,티웨이항공,"124,700"
2024-08-04 00:00:00-17:00,진에어,"105,200"
2024-08-04 00:00:00-18:25,제주항공,"112,700"
2024-08-04 00:00:00-16:05,진에어,"114,600"
2024-08-04 00:00:00-17:30,이스타항공,"116,500"
2024-08-04 00:00:00-15:55,티웨이항공,"117,000"
2024-08-04 00:00:00-17:15,제주항공,"120,200"
2024-08-04 00:00:00-14:40,에어서울,"124,100"
2024-08-04 00:00:00-16:00,티웨이항공,"124,700"
2024-08-04 00:00:00-18:25,제주항공,"127,600"
2024-08-04 00:00:00-19:50,제주항공,"127,600"
2024-08-05 00:00:00-16:05,제주항공,"97,800"
2024-08-05 00:00:00-17:30,진에어,"98,000"
2024-08-05 00:00:00-17:00,티웨이항공,"101,500"
2024-08-05 00:00:00-18:25,진에어,"103,500"
2024-08-05 00:00:00-18:25,제주항공,"112,700"
2024-08-05 00:00:00-19:50,대한항공,"112,900"
2024-08-05 00:00:00-15:55,아시아나항공,"113,600"
2024-08-05 00:00:00-17:15,에어부산,"116,000"
2024-08-05 00:00:00-15:30,이스타항공,"116,500"
2024-08-05 00:00:00-16:45,에어서울,"124,100"
2024-08-06 00:00:00-17:00,진에어,"73,400"
2024-08-06 00:00:00-18:25,제주항공,"74,800"
2024-08-06 00:00:00-15:30,이스타항공,"76,100"
2024-08-06 00:00:00-16:45,티웨이항공,"78,300"
2024-08-06 00:00:00-14:40,진에어,"78,700"
2024-08-06 00:00:00-16:00,제주항공,"85,400"
2024-08-06 00:00:00-18:25,에어서울,"87,300"
2024-08-06 00:00:00-19:50,제주항공,"97,800"
2024-08-06 00:00:00-15:55,에어부산,"98,000"
2024-08-06 00:00:00-17:15,티웨이항공,"101,500"
2024-08-07 00:00:00-14:25,에어서울,"68,900"
2024-08-07 00:00:00-16:00,진에어,"73,400"
2024-08-07 00:00:00-15:55,진에어,"73,400"
2024-08-07 00:00:00-17:15,제주항공,"74,800"
2024-08-07 00:00:00-17:00,제주항공,"74,800"
2024-08-07 00:00:00-18:25,이스타항공,"76,100"
2024-08-07 00:00:00-16:05,에어서울,"78,100"
2024-08-07 00:00:00-17:30,티웨이항공,"78,300"
2024-08-07 00:00:00-08:20,제주항공,"85,400"
2024-08-07 00:00:00-10:00,티웨이항공,"86,000"
2024-08-08 00:00:00-14:25,에어서울,"68,900"
2024-08-08 00:00:00-16:00,제주항공,"77,200"
2024-08-08 00:00:00-08:20,이스타항공,"78,300"
2024-08-08 00:00:00-10:00,티웨이항공,"86,000"
2024-08-08 00:00:00-14:40,에어서울,"87,300"
2024-08-08 00:00:00-16:00,이스타항공,"94,100"
2024-08-08 00:00:00-14:45,에어부산,"98,000"
2024-08-08 00:00:00-16:10,에어부산,"98,000"
2024-08-08 00:00:00-07:40,티웨이항공,"101,500"
2024-08-08 00:00:00-09:00,진에어,"103,500"
2024-08-09 00:00:00-06:25,제주항공,"85,400"
2024-08-09 00:00:00-08:00,에어서울,"87,300"
2024-08-09 00:00:00-07:25,진에어,"92,500"
2024-08-09 00:00:00-08:55,티웨이항공,"93,800"
2024-08-09 00:00:00-15:55,이스타항공,"94,100"
2024-08-09 00:00:00-17:15,에어서울,"96,500"
2024-08-09 00:00:00-14:45,제주항공,"97,800"
2024-08-09 00:00:00-16:10,에어부산,"98,000"
2024-08-09 00:00:00-14:40,진에어,"98,000"
2024-08-09 00:00:00-16:00,에어부산,"98,000"
2024-08-10 00:00:00-08:20,제주항공,"105,200"
2024-08-10 00:00:00-10:00,이스타항공,"105,500"
2024-08-10 00:00:00-14:40,에어서울,"105,700"
2024-08-10 00:00:00-16:00,에어서울,"105,700"
2024-08-10 00:00:00-07:40,티웨이항공,"109,300"
2024-08-10 00:00:00-09:00,아시아나항공,"113,600"
2024-08-10 00:00:00-14:25,진에어,"114,600"
2024-08-10 00:00:00-16:00,진에어,"114,600"
2024-08-10 00:00:00-18:25,에어부산,"116,000"
2024-08-10 00:00:00-19:50,에어부산,"116,000"
2024-08-11 00:00:00-07:25,에어서울,"96,500"
2024-08-11 00:00:00-08:55,제주항공,"97,800"
2024-08-11 00:00:00-06:25,에어부산,"98,000"
2024-08-11 00:00:00-07:55,진에어,"98,000"
2024-08-11 00:00:00-11:35,진에어,"98,000"
2024-08-11 00:00:00-12:55,진에어,"98,000"
2024-08-11 00:00:00-07:15,에어부산,"98,000"
2024-08-11 00:00:00-08:35,진에어,"103,500"
2024-08-11 00:00:00-15:55,이스타항공,"105,500"
2024-08-11 00:00:00-17:15,에어서울,"105,700"
2024-08-12 00:00:00-08:20,제주항공,"85,400"
2024-08-12 00:00:00-10:00,에어서울,"96,500"
2024-08-12 00:00:00-07:25,제주항공,"97,800"
2024-08-12 00:00:00-08:55,에어부산,"98,000"
2024-08-12 00:00:00-06:25,에어부산,"98,000"
2024-08-12 00:00:00-07:55,이스타항공,"105,500"
2024-08-12 00:00:00-11:35,제주항공,"112,700"
2024-08-12 00:00:00-13:00,제주항공,"112,700"
2024-08-12 00:00:00-07:20,아시아나항공,"113,600"
2024-08-12 00:00:00-08:55,아시아나항공,"113,600"
2024-08-13 00:00:00-07:40,에어서울,"96,500"
2024-08-13 00:00:00-09:00,에어부산,"98,000"
2024-08-13 00:00:00-11:35,에어부산,"98,000"
2024-08-13 00:00:00-12:55,이스타항공,"105,500"
2024-08-13 00:00:00-07:20,제주항공,"112,700"
2024-08-13 00:00:00-08:55,대한항공,"112,900"
2024-08-13 00:00:00-08:40,아시아나항공,"113,600"
2024-08-13 00:00:00-09:55,진에어,"114,600"
2024-08-13 00:00:00-06:25,티웨이항공,"117,000"
2024-08-13 00:00:00-08:00,제주항공,"120,200"
2024-08-15 00:00:00-18:25,티웨이항공,"178,900"
2024-08-15 00:00:00-19:50,제주항공,"191,000"
2024-08-15 00:00:00-16:05,에어서울,"206,900"
2024-08-15 00:00:00-17:30,제주항공,"208,900"
2024-08-15 00:00:00-14:25,이스타항공,"213,300"
2024-08-15 00:00:00-16:00,에어부산,"215,000"
2024-08-15 00:00:00-15:30,에어부산,"215,000"
2024-08-15 00:00:00-16:45,진에어,"222,500"
2024-08-15 00:00:00-14:40,진에어,"222,500"
2024-08-15 00:00:00-16:00,제주항공,"226,800"
2024-08-16 00:00:00-06:25,제주항공,"109,300"
2024-08-16 00:00:00-08:00,에어서울,"114,900"
2024-08-16 00:00:00-07:25,에어부산,"116,000"
2024-08-16 00:00:00-08:55,에어부산,"114,500"
2024-08-16 00:00:00-11:35,이스타항공,"112,200"
2024-08-16 00:00:00-12:55,티웨이항공,"123,700"
2024-08-16 00:00:00-07:20,티웨이항공,"123,700"
2024-08-16 00:00:00-08:55,제주항공,"126,100"
2024-08-16 00:00:00-14:40,에어서울,"133,300"
2024-08-16 00:00:00-16:00,이스타항공,"129,700"
2024-08-17 00:00:00-07:20,에어부산,"98,000"
2024-08-17 00:00:00-08:55,제주항공,"109,300"
2024-08-17 00:00:00-08:20,에어서울,"114,900"
2024-08-17 00:00:00-10:00,티웨이항공,"114,200"
2024-08-17 00:00:00-07:40,에어부산,"116,000"
2024-08-17 00:00:00-09:00,티웨이항공,"122,800"
2024-08-17 00:00:00-14:45,진에어,"122,300"
2024-08-17 00:00:00-16:10,제주항공,"126,100"
2024-08-17 00:00:00-11:35,제주항공,"117,700"
2024-08-17 00:00:00-12:55,에어서울,"133,300"
2024-08-18 00:00:00-18:25,티웨이항공,"103,500"
2024-08-18 00:00:00-19:50,제주항공,"109,300"
2024-08-18 00:00:00-15:30,에어서울,"114,900"
2024-08-18 00:00:00-16:45,에어부산,"116,000"
2024-08-18 00:00:00-07:25,에어부산,"114,500"
2024-08-18 00:00:00-08:55,이스타항공,"112,200"
2024-08-18 00:00:00-11:35,제주항공,"117,700"
2024-08-18 00:00:00-12:55,제주항공,"117,700"
2024-08-18 00:00:00-07:20,제주항공,"117,700"
2024-08-18 00:00:00-08:55,티웨이항공,"119,800"
2024-08-19 00:00:00-16:05,제주항공,"97,100"
2024-08-19 00:00:00-17:30,티웨이항공,"99,700"
2024-08-19 00:00:00-18:25,제주항공,"105,100"
2024-08-19 00:00:00-19:50,이스타항공,"105,500"
2024-08-19 00:00:00-08:20,에어서울,"105,700"
2024-08-19 00:00:00-10:00,티웨이항공,"107,200"
2024-08-19 00:00:00-14:40,진에어,"111,200"
2024-08-19 00:00:00-16:00,진에어,"111,200"
2024-08-19 00:00:00-07:25,제주항공,"112,700"
2024-08-19 00:00:00-08:55,제주항공,"112,700"
2024-08-20 00:00:00-14:40,이스타항공,"88,800"
2024-08-20 00:00:00-16:00,에어서울,"95,400"
2024-08-20 00:00:00-07:40,에어서울,"95,400"
2024-08-20 00:00:00-09:00,제주항공,"92,500"
2024-08-20 00:00:00-14:25,제주항공,"92,500"
2024-08-20 00:00:00-16:00,에어부산,"97,000"
2024-08-20 00:00:00-16:05,티웨이항공,"95,300"
2024-08-20 00:00:00-17:30,티웨이항공,"99,300"
2024-08-20 00:00:00-08:20,제주항공,"100,900"
2024-08-20 00:00:00-10:00,제주항공,"100,500"
2024-08-21 00:00:00-16:05,제주항공,"70,900"
2024-08-21 00:00:00-17:30,제주항공,"70,900"
2024-08-21 00:00:00-08:20,이스타항공,"84,200"
2024-08-21 00:00:00-10:00,티웨이항공,"87,200"
2024-08-21 00:00:00-14:40,티웨이항공,"87,200"
2024-08-21 00:00:00-16:00,진에어,"93,500"
2024-08-21 00:00:00-14:45,진에어,"93,300"
2024-08-21 00:00:00-16:10,에어서울,"95,400"
2024-08-21 00:00:00-18:25,에어서울,"95,400"
2024-08-21 00:00:00-19:50,제주항공,"92,600"
2024-08-22 00:00:00-08:20,제주항공,"74,800"
2024-08-22 00:00:00-10:00,티웨이항공,"92,200"
2024-08-22 00:00:00-14:45,이스타항공,"94,100"
2024-08-22 00:00:00-16:10,에어서울,"96,500"
2024-08-22 00:00:00-14:40,에어부산,"98,000"
2024-08-22 00:00:00-16:00,에어부산,"92,900"
2024-08-22 00:00:00-07:40,에어서울,"105,700"
2024-08-22 00:00:00-09:00,티웨이항공,"107,200"
