날짜시간,항공사,가격
2024-08-01 00:00:00-18:25,티웨이항공,"110,611"
2024-08-01 00:00:00-19:50,티웨이항공,"125,954"
2024-08-01 00:00:00-14:45,제주항공,"130,400"
2024-08-01 00:00:00-16:10,진에어,"133,800"
2024-08-01 00:00:00-16:05,에어서울,"135,422"
2024-08-02 00:00:00-18:25,티웨이항공,"81,969"
2024-08-02 00:00:00-19:50,이스타항공,"92,500"
2024-08-02 00:00:00-14:40,에어서울,"93,825"
2024-08-02 00:00:00-16:00,진에어,"95,672"
2024-08-02 00:00:00-14:25,진에어,"96,240"
2024-08-03 00:00:00-18:25,티웨이항공,"101,014"
2024-08-03 00:00:00-19:50,진에어,"109,314"
2024-08-03 00:00:00-15:55,진에어,"109,867"
2024-08-03 00:00:00-17:15,이스타항공,"111,011"
2024-08-03 00:00:00-17:00,제주항공,"113,179"
2024-08-04 00:00:00-17:00,진에어,"96,240"
2024-08-04 00:00:00-18:25,제주항공,"106,383"
2024-08-04 00:00:00-16:05,진에어,"109,449"
2024-08-04 00:00:00-17:30,티웨이항공,"110,656"
2024-08-04 00:00:00-15:55,이스타항공,"111,011"
2024-08-05 00:00:00-18:25,티웨이항공,"81,969"
2024-08-05 00:00:00-19:50,진에어,"90,284"
2024-08-05 00:00:00-17:00,진에어,"95,672"
2024-08-05 00:00:00-18:25,대한항공,"101,542"
2024-08-05 00:00:00-15:55,아시아나항공,"102,469"
2024-08-06 00:00:00-14:25,에어서울,"58,063"
2024-08-06 00:00:00-16:00,진에어,"65,150"
2024-08-06 00:00:00-17:00,진에어,"65,150"
2024-08-06 00:00:00-18:25,티웨이항공,"65,432"
2024-08-06 00:00:00-15:55,이스타항공,"68,347"
2024-08-07 00:00:00-14:45,티웨이항공,"57,059"
2024-08-07 00:00:00-16:10,에어서울,"57,989"
2024-08-07 00:00:00-14:25,진에어,"65,150"
2024-08-07 00:00:00-16:00,티웨이항공,"65,342"
2024-08-07 00:00:00-15:55,이스타항공,"68,243"
2024-08-08 00:00:00-14:25,에어서울,"64,740"
2024-08-08 00:00:00-16:00,이스타항공,"72,800"
2024-08-08 00:00:00-14:40,티웨이항공,"73,342"
2024-08-08 00:00:00-16:00,에어서울,"77,317"
2024-08-08 00:00:00-14:45,이스타항공,"89,100"
2024-08-09 00:00:00-14:45,티웨이항공,"81,790"
2024-08-09 00:00:00-16:10,에어서울,"82,720"
2024-08-09 00:00:00-07:25,에어서울,"82,720"
2024-08-09 00:00:00-08:55,진에어,"83,449"
2024-08-09 00:00:00-14:25,이스타항공,"89,100"
2024-08-10 00:00:00-14:25,에어서울,"94,825"
2024-08-10 00:00:00-16:00,티웨이항공,"100,581"
2024-08-10 00:00:00-18:25,이스타항공,"100,900"
2024-08-10 00:00:00-19:50,아시아나항공,"102,275"
