날짜시간,항공사,가격
2025-06-30-20:00,대한항공,"252,600"
2025-06-30-19:40,대한항공,"214,100"
2025-06-30-18:35,대한항공,"252,600"
2025-06-30-18:20,아시아나항공,"213,000"
2025-06-30-14:00,아시아나항공,"213,000"
2025-06-30-12:40,아시아나항공,"213,000"
2025-06-30-10:30,대한항공,"214,100"
2025-06-30-09:25,대한항공,"252,600"
2025-06-30-08:55,대한항공,"214,100"
2025-06-30-08:00,대한항공,"252,600"
2025-06-29-20:00,대한항공,"252,600"
2025-06-29-19:40,대한항공,"214,100"
2025-06-29-18:35,대한항공,"252,600"
2025-06-29-18:20,아시아나항공,"213,000"
2025-06-29-14:00,아시아나항공,"213,000"
2025-06-29-12:40,아시아나항공,"213,000"
2025-06-29-10:30,대한항공,"214,100"
2025-06-29-09:25,대한항공,"252,600"
2025-06-29-08:55,대한항공,"214,100"
2025-06-29-08:00,대한항공,"252,600"
2025-06-28-20:00,대한항공,"252,600"
2025-06-28-19:40,대한항공,"214,100"
2025-06-28-18:35,대한항공,"252,600"
2025-06-28-18:20,아시아나항공,"213,000"
2025-06-28-14:00,아시아나항공,"213,000"
2025-06-28-12:40,아시아나항공,"213,000"
2025-06-28-10:30,대한항공,"214,100"
2025-06-28-09:25,대한항공,"252,600"
2025-06-28-08:55,대한항공,"214,100"
2025-06-28-08:00,대한항공,"252,600"
2025-06-27-20:00,대한항공,"256,100"
2025-06-27-19:40,대한항공,"214,100"
2025-06-27-18:35,대한항공,"256,100"
2025-06-27-18:20,아시아나항공,"213,000"
2025-06-27-14:00,아시아나항공,"213,000"
2025-06-27-12:40,아시아나항공,"213,000"
2025-06-27-10:30,대한항공,"214,100"
2025-06-27-09:25,대한항공,"252,600"
2025-06-27-08:55,대한항공,"214,100"
2025-06-27-08:00,대한항공,"252,600"
2025-06-26-20:00,대한항공,"252,600"
2025-06-26-19:40,대한항공,"214,100"
2025-06-26-18:35,대한항공,"252,600"
2025-06-26-18:20,아시아나항공,"213,000"
2025-06-26-14:00,아시아나항공,"213,000"
2025-06-26-12:40,아시아나항공,"213,000"
2025-06-26-10:30,대한항공,"214,100"
2025-06-26-09:25,대한항공,"252,600"
2025-06-26-08:55,대한항공,"214,100"
2025-06-26-08:00,대한항공,"252,600"
2025-06-25-20:00,대한항공,"252,600"
2025-06-25-19:40,대한항공,"214,100"
2025-06-25-18:35,대한항공,"252,600"
2025-06-25-18:20,아시아나항공,"213,000"
2025-06-25-14:00,아시아나항공,"213,000"
2025-06-25-12:40,아시아나항공,"213,000"
2025-06-25-10:30,대한항공,"214,100"
2025-06-25-09:25,대한항공,"252,600"
2025-06-25-08:55,대한항공,"214,100"
2025-06-25-08:00,대한항공,"252,600"
2025-06-24-20:00,대한항공,"252,600"
2025-06-24-19:40,대한항공,"214,100"
2025-06-24-18:35,대한항공,"252,600"
2025-06-24-18:20,아시아나항공,"213,000"
2025-06-24-14:00,아시아나항공,"213,000"
2025-06-24-12:40,아시아나항공,"213,000"
2025-06-24-10:30,대한항공,"214,100"
2025-06-24-09:25,대한항공,"252,600"
2025-06-24-08:55,대한항공,"214,100"
2025-06-24-08:00,대한항공,"252,600"
2025-06-23-20:00,대한항공,"252,600"
2025-06-23-19:40,대한항공,"214,100"
2025-06-23-18:35,대한항공,"252,600"
2025-06-23-18:20,아시아나항공,"213,000"
2025-06-23-14:00,아시아나항공,"213,000"
2025-06-23-12:40,아시아나항공,"213,000"
2025-06-23-10:30,대한항공,"214,100"
2025-06-23-09:25,대한항공,"252,600"
2025-06-23-08:55,대한항공,"214,100"
2025-06-23-08:00,대한항공,"252,600"
2025-06-22-20:00,대한항공,"252,600"
2025-06-22-19:40,대한항공,"214,100"
2025-06-22-18:35,대한항공,"252,600"
2025-06-22-18:20,아시아나항공,"213,000"
2025-06-22-14:00,아시아나항공,"213,000"
2025-06-22-12:40,아시아나항공,"213,000"
2025-06-22-10:30,대한항공,"214,100"
2025-06-22-09:25,대한항공,"252,600"
2025-06-22-08:55,대한항공,"214,100"
2025-06-22-08:00,대한항공,"252,600"
2025-06-21-20:00,대한항공,"252,600"
2025-06-21-19:40,대한항공,"214,100"
2025-06-21-18:35,대한항공,"252,600"
2025-06-21-18:20,아시아나항공,"213,000"
2025-06-21-14:00,아시아나항공,"213,000"
2025-06-21-12:40,아시아나항공,"213,000"
2025-06-21-10:30,대한항공,"214,100"
2025-06-21-09:25,대한항공,"252,600"
2025-06-21-08:55,대한항공,"214,100"
2025-06-21-08:00,대한항공,"252,600"
2025-06-20-20:00,대한항공,"256,100"
2025-06-20-19:40,대한항공,"214,100"
2025-06-20-18:35,대한항공,"256,100"
2025-06-20-18:20,아시아나항공,"213,000"
2025-06-20-14:00,아시아나항공,"213,000"
2025-06-20-12:40,아시아나항공,"213,000"
2025-06-20-10:30,대한항공,"214,100"
2025-06-20-09:25,대한항공,"252,600"
2025-06-20-08:55,대한항공,"214,100"
2025-06-20-08:00,대한항공,"252,600"
2025-06-19-20:00,대한항공,"252,600"
2025-06-19-19:40,대한항공,"214,100"
2025-06-19-18:35,대한항공,"252,600"
2025-06-19-18:20,아시아나항공,"213,000"
2025-06-19-14:00,아시아나항공,"213,000"
2025-06-19-12:40,아시아나항공,"213,000"
2025-06-19-10:30,대한항공,"214,100"
2025-06-19-09:25,대한항공,"252,600"
2025-06-19-08:55,대한항공,"214,100"
2025-06-19-08:00,대한항공,"252,600"
2025-06-18-20:00,대한항공,"252,600"
2025-06-18-19:40,대한항공,"214,100"
2025-06-18-18:35,대한항공,"252,600"
2025-06-18-18:20,아시아나항공,"213,000"
2025-06-18-14:00,아시아나항공,"213,000"
2025-06-18-12:40,아시아나항공,"213,000"
2025-06-18-10:30,대한항공,"214,100"
2025-06-18-09:25,대한항공,"252,600"
2025-06-18-08:55,대한항공,"214,100"
2025-06-18-08:00,대한항공,"252,600"
2025-06-17-20:00,대한항공,"252,600"
2025-06-17-19:40,대한항공,"214,100"
2025-06-17-18:35,대한항공,"252,600"
2025-06-17-18:20,아시아나항공,"213,000"
2025-06-17-14:00,아시아나항공,"213,000"
2025-06-17-12:40,아시아나항공,"213,000"
2025-06-17-10:30,대한항공,"214,100"
2025-06-17-09:25,대한항공,"252,600"
2025-06-17-08:55,대한항공,"214,100"
2025-06-17-08:00,대한항공,"252,600"
2025-06-16-20:00,대한항공,"252,600"
2025-06-16-19:40,대한항공,"214,100"
2025-06-16-18:35,대한항공,"252,600"
2025-06-16-18:20,아시아나항공,"213,000"
2025-06-16-14:00,아시아나항공,"213,000"
2025-06-16-12:40,아시아나항공,"213,000"
2025-06-16-10:30,대한항공,"214,100"
2025-06-16-09:25,대한항공,"252,600"
2025-06-16-08:55,대한항공,"214,100"
2025-06-16-08:00,대한항공,"252,600"
2025-06-15-20:00,대한항공,"252,600"
2025-06-15-19:40,대한항공,"214,100"
2025-06-15-18:35,대한항공,"252,600"
2025-06-15-18:20,아시아나항공,"213,000"
2025-06-15-14:00,아시아나항공,"213,000"
2025-06-15-12:40,아시아나항공,"213,000"
2025-06-15-10:30,대한항공,"214,100"
2025-06-15-09:25,대한항공,"252,600"
2025-06-15-08:55,대한항공,"214,100"
2025-06-15-08:00,대한항공,"252,600"
2025-06-13-20:00,대한항공,"256,100"
2025-06-13-19:40,대한항공,"214,100"
2025-06-13-18:35,대한항공,"256,100"
2025-06-13-18:20,아시아나항공,"213,000"
2025-06-13-14:00,아시아나항공,"213,000"
2025-06-13-12:40,아시아나항공,"213,000"
2025-06-13-10:30,대한항공,"214,100"
2025-06-13-09:25,대한항공,"252,600"
2025-06-13-08:55,대한항공,"214,100"
2025-06-13-08:00,대한항공,"252,600"
2025-06-12-20:00,대한항공,"252,600"
2025-06-12-19:40,대한항공,"214,100"
2025-06-12-18:35,대한항공,"252,600"
2025-06-12-18:20,아시아나항공,"213,000"
2025-06-12-14:00,아시아나항공,"213,000"
2025-06-12-12:40,아시아나항공,"213,000"
2025-06-12-10:30,대한항공,"214,100"
2025-06-12-09:25,대한항공,"252,600"
2025-06-12-08:55,대한항공,"214,100"
2025-06-12-08:00,대한항공,"252,600"
2025-06-11-20:00,대한항공,"252,600"
2025-06-11-19:40,대한항공,"214,100"
2025-06-11-18:35,대한항공,"252,600"
2025-06-11-18:20,아시아나항공,"213,000"
2025-06-11-14:00,아시아나항공,"213,000"
2025-06-11-12:40,아시아나항공,"213,000"
2025-06-11-10:30,대한항공,"214,100"
2025-06-11-09:25,대한항공,"252,600"
2025-06-11-08:55,대한항공,"214,100"
2025-06-11-08:00,대한항공,"252,600"
2025-06-10-20:00,대한항공,"252,600"
2025-06-10-19:40,대한항공,"214,100"
2025-06-10-18:35,대한항공,"252,600"
2025-06-10-18:20,아시아나항공,"213,000"
2025-06-10-14:00,아시아나항공,"213,000"
2025-06-10-12:40,아시아나항공,"213,000"
2025-06-10-10:30,대한항공,"214,100"
2025-06-10-09:25,대한항공,"252,600"
2025-06-10-08:55,대한항공,"214,100"
2025-06-10-08:00,대한항공,"252,600"
2025-06-09-20:00,대한항공,"252,600"
2025-06-09-19:40,대한항공,"214,100"
2025-06-09-18:35,대한항공,"252,600"
2025-06-09-18:20,아시아나항공,"213,000"
2025-06-09-14:00,아시아나항공,"213,000"
2025-06-09-12:40,아시아나항공,"213,000"
2025-06-09-10:30,대한항공,"214,100"
2025-06-09-09:25,대한항공,"252,600"
2025-06-09-08:55,대한항공,"214,100"
2025-06-09-08:00,대한항공,"252,600"
2025-06-08-20:00,대한항공,"252,600"
2025-06-08-19:40,대한항공,"214,100"
2025-06-08-18:35,대한항공,"252,600"
